time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-01-31T07:07:00.230Z,36.5432,70.8155,191.19,6.1,mww,,28,0.612,0.72,us,us2000crmu,2018-02-02T17:06:33.657Z,"35km S of Jarm, Afghanistan",earthquake,4.8,5.5,0.059,28,reviewed,us,us
2018-01-28T16:03:03.970Z,-53.0622,9.6836,10,6.6,mww,,27,19.475,0.61,us,us2000cqnn,2018-01-30T01:17:40.772Z,"Southwest of Africa",earthquake,10.3,1.8,0.073,18,reviewed,us,us
2018-01-26T22:47:57.760Z,-3.5138,145.8477,10,6.3,mww,,18,2.105,0.7,us,us2000cq5t,2018-01-31T18:34:13.861Z,"189km N of Madang, Papua New Guinea",earthquake,6.8,1.7,0.065,23,reviewed,us,us
2018-01-26T03:32:08.150Z,42.5654,-111.4823,10,4.3,mb,,85,0.127,0.72,us,us2000cpkg,2018-01-31T18:41:05.035Z,"14km SE of Soda Springs, Idaho",earthquake,2.9,2,0.108,24,reviewed,us,us
2018-01-25T16:39:43.230Z,40.4372,-126.3397,8.06,5.8,mww,,41,1.528,0.98,us,us2000cpba,2018-02-02T08:11:32.436Z,"176km W of Ferndale, California",earthquake,5.3,2.9,0.039,62,reviewed,us,us
2018-01-25T10:09:56.810Z,33.741,-117.4911667,11.15,3.97,mw,198,22,0.02263,0.25,ci,ci38092312,2018-02-02T20:13:56.820Z,"12km NE of Trabuco Canyon, CA",earthquake,0.11,0.22,,6,reviewed,ci,ci
2018-01-24T10:51:20.650Z,41.1217,142.294,39.75,6.2,mww,,63,0.988,0.98,us,us2000cnnl,2018-01-31T18:36:44.876Z,"92km ESE of Mutsu, Japan",earthquake,4.9,4.9,0.073,18,reviewed,us,us
2018-01-23T09:31:42.940Z,56.0464,-149.0728,25,7.9,mww,,28,2.595,0.9,us,us2000cmy3,2018-02-02T07:52:05.001Z,"280km SE of Kodiak, Alaska",earthquake,5.9,1.8,0.052,35,reviewed,us,us
2018-01-23T06:34:54.240Z,-7.1958,105.9181,43.91,6,mww,,75,3.274,1.16,us,us2000cmwz,2018-01-31T18:36:04.351Z,"40km S of Binuangeun, Indonesia",earthquake,8.1,6.7,0.071,19,reviewed,us,us
2018-01-21T01:06:42.200Z,-18.8879,-69.6165,110.82,6.3,mww,,66,0.559,1.31,us,us2000cm0f,2018-01-31T18:32:56.995Z,"76km S of Putre, Chile",earthquake,3.2,4.6,0.054,33,reviewed,us,us
2018-01-19T16:17:42.570Z,26.6795,-111.107,10,6.3,mww,,142,1.196,1.01,us,us2000cl83,2018-01-31T18:39:44.856Z,"77km NNE of Loreto, Mexico",earthquake,7.5,1.9,0.037,69,reviewed,us,us
2018-01-14T09:18:45.540Z,-15.7589,-74.7095,39,7.1,mww,,23,4.282,1.19,us,us2000cjfy,2018-01-31T18:35:02.566Z,"37km SSW of Acari, Peru",earthquake,7.3,1.8,0.032,95,reviewed,us,us
2018-01-11T18:26:24.230Z,18.3629,96.0776,9,6,mww,,28,2.755,1.02,us,us2000cifa,2018-01-31T18:39:04.003Z,"39km WSW of Pyu, Burma",earthquake,5.2,1.8,0.052,35,reviewed,us,us
2018-01-10T02:51:31.860Z,17.4743,-83.5193,10,7.5,mww,,12,4.574,0.81,us,us1000c2zy,2018-01-31T18:38:16.894Z,"44km E of Great Swan Island, Honduras",earthquake,6.2,1.7,0.035,79,reviewed,us,us
